name,city,cuisines,rating,budget_tier,address,vegetarian,source
Junior Kuppanna,Chennai,South Indian | Biryani | Chettinad,4.3,Rs 500-2000,"Egmore, Chennai",Yes,https://wibest.in/restaurants/chennai/
Benjarong,Chennai,Thai | Fine Dining,4.5,Rs 2000+,"Dakshin Hotel, TTK Road",Yes,https://wibest.in/restaurants/chennai/
Anjappar,Chennai,Chettinad | South Indian,4.3,Rs 500-2000,"Multiple outlets, Chennai",Yes,https://wibest.in/restaurants/chennai/
MTR (Mavalli Tiffin Rooms),Bangalore,South Indian | Vegetarian,4.6,Under Rs 500,"Lalbagh Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Vidyarthi Bhavan,Bangalore,South Indian | Vegetarian,4.5,Under Rs 500,"Gandhi Bazaar, Basavanagudi",Yes,https://wibest.in/restaurants/bangalore/
Karavalli,Bangalore,Coastal | Seafood | Fine Dining,4.6,Rs 2000+,"The Gateway Hotel, Residency Road",Yes,https://wibest.in/restaurants/bangalore/
Meghana Foods,Bangalore,Biryani | Andhra | South Indian,4.4,Under Rs 500,"Multiple outlets, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Truffles,Bangalore,Continental | Cafe | Burgers,4.4,Rs 500-2000,"St. Marks Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Empire Restaurant,Bangalore,Biryani | North Indian | Kebabs,4.3,Under Rs 500,"Church Street, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
The Only Place,Bangalore,Continental | Steaks,4.4,Rs 500-2000,"Museum Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Toit Brewpub,Bangalore,Continental | Cafe | Brewery,4.4,Rs 500-2000,"100 Feet Road, Indiranagar",Yes,https://wibest.in/restaurants/bangalore/
Peter Cat,Kolkata,Continental | North Indian,4.5,Rs 500-2000,"Park Street, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
6 Ballygunge Place,Kolkata,Bengali | Fine Dining,4.5,Rs 500-2000,"Ballygunge, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Arsalan,Kolkata,Biryani | Mughlai,4.5,Under Rs 500,"Park Circus, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Oh! Calcutta,Kolkata,Bengali | Fine Dining,4.4,Rs 2000+,"Forum Mall, Elgin Road",Yes,https://wibest.in/restaurants/kolkata/
Kewpie's,Kolkata,Bengali | Home-style,4.6,Rs 500-2000,"Elgin Lane, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Flurys,Kolkata,Cafe | Bakery | Continental,4.4,Rs 500-2000,"Park Street, Kolkata",Yes,https://wibest.in/restaurants/kolkata/
Paradise Biryani,Hyderabad,Biryani | Mughlai,4.5,Under Rs 500,"MG Road, Secunderabad",Yes,https://wibest.in/restaurants/hyderabad/
Bawarchi,Hyderabad,Biryani | North Indian,4.3,Under Rs 500,"RTC X Roads, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Shah Ghouse,Hyderabad,Biryani | Mughlai | Haleem,4.4,Under Rs 500,"Tolichowki, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Chutneys,Hyderabad,South Indian | Vegetarian,4.4,Under Rs 500,"Banjara Hills, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Ohri's Jiva Imperia,Hyderabad,Fine Dining | Continental | North Indian,4.3,Rs 2000+,"Banjara Hills, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Absolute Barbecues,Hyderabad,BBQ | Continental | North Indian,4.4,Rs 500-2000,"Jubilee Hills, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Kritunga,Hyderabad,Andhra | South Indian,4.3,Under Rs 500,"Kukatpally, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Pista House,Hyderabad,Biryani | Haleem | Mughlai,4.3,Under Rs 500,"Nampally, Hyderabad",Yes,https://wibest.in/restaurants/hyderabad/
Corner House,Bangalore,Ice Cream | Desserts,4.5,Under Rs 500,"Residency Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Nagarjuna,Bangalore,Andhra | South Indian | Biryani,4.4,Rs 500-2000,"Residency Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Brahmin's Coffee Bar,Bangalore,South Indian | Vegetarian | Breakfast,4.5,Under Rs 500,"Shankarapuram, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Koshy's,Bangalore,Continental | Anglo-Indian | Cafe,4.4,Rs 500-2000,"St. Marks Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
CTR (Central Tiffin Room),Bangalore,South Indian | Breakfast | Vegetarian,4.5,Under Rs 500,"Malleshwaram, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Rajdhani,Bangalore,Gujarati | Rajasthani | Thali,4.3,Rs 500-2000,"Forum Mall, Koramangala",Yes,https://wibest.in/restaurants/bangalore/
Barbeque Nation,Bangalore,BBQ | North Indian | Buffet,4.3,Rs 500-2000,"Koramangala, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Hard Rock Cafe,Bangalore,Continental | American | Bar,4.3,Rs 2000+,"St. Marks Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Fava,Bangalore,Mediterranean | Continental,4.4,Rs 2000+,"UB City, Vittal Mallya Road",Yes,https://wibest.in/restaurants/bangalore/
Olive Beach,Bangalore,Mediterranean | Fine Dining,4.4,Rs 2000+,"Wood Street, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Windmills Craftworks,Bangalore,Continental | Brewery | Jazz,4.4,Rs 2000+,"Whitefield, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Arbor Brewing Company,Bangalore,American | Brewery | Pizza,4.3,Rs 500-2000,"Magrath Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Vaishali,Pune,South Indian | Vegetarian | Breakfast,4.5,Under Rs 500,"FC Road, Pune",Yes,https://wibest.in/restaurants/pune/
Shabree,Pune,Maharashtrian | Thali | Vegetarian,4.4,Rs 500-2000,"Karve Road, Pune",Yes,https://wibest.in/restaurants/pune/
Malaka Spice,Pune,Pan-Asian | Thai | Fine Dining,4.4,Rs 2000+,"Koregaon Park, Pune",Yes,https://wibest.in/restaurants/pune/
German Bakery,Pune,Cafe | Continental | Bakery,4.3,Rs 500-2000,"Koregaon Park, Pune",Yes,https://wibest.in/restaurants/pune/
Blue Nile,Pune,Mughlai | Biryani | North Indian,4.3,Rs 500-2000,"Camp, Pune",Yes,https://wibest.in/restaurants/pune/
Durga,Pune,Maharashtrian | Indian | Thali,4.2,Under Rs 500,"Tilak Road, Pune",Yes,https://wibest.in/restaurants/pune/
Marz-o-rin,Pune,Cafe | Bakery | Continental,4.3,Rs 500-2000,"MG Road, Camp, Pune",Yes,https://wibest.in/restaurants/pune/
Dario's,Pune,Italian | Fine Dining,4.5,Rs 2000+,"Koregaon Park, Pune",Yes,https://wibest.in/restaurants/pune/
Agashiye,Ahmedabad,Gujarati | Thali | Fine Dining,4.6,Rs 2000+,"The House of MG, Lal Darwaja",Yes,https://wibest.in/restaurants/ahmedabad/
Vishalla,Ahmedabad,Gujarati | Thali | Traditional,4.4,Rs 500-2000,"Vasna, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Gopi Dining Hall,Ahmedabad,Gujarati | Thali | Vegetarian,4.4,Under Rs 500,"Ellis Bridge, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Chandravilas,Ahmedabad,Gujarati | Snacks | Vegetarian,4.3,Under Rs 500,"Gandhi Road, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Tomato's,Ahmedabad,Italian | Cafe | Pizza,4.3,Rs 500-2000,"CG Road, Ahmedabad",No,https://wibest.in/restaurants/ahmedabad/
Swati Snacks,Ahmedabad,Gujarati | Chaat | Vegetarian,4.4,Under Rs 500,"Law Garden, Ahmedabad",Yes,https://wibest.in/restaurants/ahmedabad/
Annapoorna Gowrishankar,Coimbatore,South Indian | Vegetarian,4.4,Under Rs 500,"RS Puram, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Junior Kuppanna,Coimbatore,Chettinad | South Indian | Biryani,4.4,Rs 500-2000,"Race Course, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Hotel Sree Annapoorna,Coimbatore,South Indian | Vegetarian,4.3,Under Rs 500,"Puliakulam, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Angannan Biryani,Coimbatore,Biryani | Chettinad | Non-Veg,4.3,Under Rs 500,"Gandhipuram, Coimbatore",No,https://wibest.in/restaurants/coimbatore/
The Black Tomato,Coimbatore,Continental | Cafe | Pizza,4.3,Rs 500-2000,"RS Puram, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
On The Go,Coimbatore,Cafe | Burgers | Continental,4.2,Rs 500-2000,"Race Course, Coimbatore",Yes,https://wibest.in/restaurants/coimbatore/
Laxmi Misthan Bhandar (LMB),Jaipur,Rajasthani | Sweets | Vegetarian,4.4,Rs 500-2000,"Johari Bazaar, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Rawat Mishthan Bhandar,Jaipur,Rajasthani | Snacks | Vegetarian,4.5,Under Rs 500,"Station Road, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
1135 AD,Jaipur,Rajasthani | Fine Dining | Royal,4.5,Rs 2000+,"Amer Fort, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Chokhi Dhani,Jaipur,Rajasthani | Thali | Folk,4.4,Rs 500-2000,"Tonk Road, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Suvarna Mahal,Jaipur,Indian | Fine Dining | Royal,4.6,Rs 2000+,"Rambagh Palace, Jaipur",No,https://wibest.in/restaurants/jaipur/
Tapri Central,Jaipur,Cafe | Chai | Snacks,4.4,Under Rs 500,"C Scheme, Jaipur",Yes,https://wibest.in/restaurants/jaipur/
Tunday Kababi,Lucknow,Awadhi | Kebabs | Mughlai,4.5,Under Rs 500,"Aminabad, Lucknow",No,https://wibest.in/restaurants/lucknow/
Idris Biryani,Lucknow,Awadhi | Biryani | Mughlai,4.5,Under Rs 500,"Chowk, Lucknow",No,https://wibest.in/restaurants/lucknow/
Dastarkhwan,Lucknow,Awadhi | Mughlai | Kebabs,4.4,Rs 500-2000,"Hazratganj, Lucknow",No,https://wibest.in/restaurants/lucknow/
Moti Mahal,Lucknow,Mughlai | North Indian,4.3,Rs 500-2000,"Hazratganj, Lucknow",No,https://wibest.in/restaurants/lucknow/
Royal Cafe,Lucknow,Chaat | Awadhi | Snacks,4.3,Under Rs 500,"Hazratganj, Lucknow",Yes,https://wibest.in/restaurants/lucknow/
Oudhyana (Taj Mahal Lucknow),Lucknow,Awadhi | Fine Dining,4.5,Rs 2000+,"Gomti Nagar, Lucknow",No,https://wibest.in/restaurants/lucknow/
Pal Dhaba,Chandigarh,North Indian | Punjabi | Non-Veg,4.4,Under Rs 500,"Sector 28, Chandigarh",No,https://wibest.in/restaurants/chandigarh/
Virgin Courtyard,Chandigarh,Italian | Continental | Fine Dining,4.4,Rs 2000+,"Sector 7, Chandigarh",Yes,https://wibest.in/restaurants/chandigarh/
Ghazal,Chandigarh,North Indian | Mughlai,4.3,Rs 500-2000,"Sector 17, Chandigarh",No,https://wibest.in/restaurants/chandigarh/
Swagath,Chandigarh,South Indian | Chettinad | Biryani,4.3,Rs 500-2000,"Sector 26, Chandigarh",No,https://wibest.in/restaurants/chandigarh/
Whistling Duck,Chandigarh,Continental | Brewery | Pizza,4.3,Rs 500-2000,"Elante Mall, Chandigarh",Yes,https://wibest.in/restaurants/chandigarh/
Nik Baker's,Chandigarh,Cafe | Bakery | Continental,4.3,Rs 500-2000,"Sector 9, Chandigarh",Yes,https://wibest.in/restaurants/chandigarh/
Dhe Puttu,Kochi,Kerala | South Indian | Traditional,4.4,Under Rs 500,"Panampilly Nagar, Kochi",No,https://wibest.in/restaurants/kochi/
Fort House Restaurant,Kochi,Kerala | Seafood | Fine Dining,4.4,Rs 2000+,Fort Kochi,No,https://wibest.in/restaurants/kochi/
Kashi Art Cafe,Kochi,Cafe | Continental | Breakfast,4.3,Rs 500-2000,"Burgher Street, Fort Kochi",Yes,https://wibest.in/restaurants/kochi/
Ariya Nivaas,Kochi,Kerala | South Indian | Vegetarian,4.3,Under Rs 500,"MG Road, Ernakulam",Yes,https://wibest.in/restaurants/kochi/
The Old Harbour Hotel,Kochi,Seafood | Kerala | Fine Dining,4.5,Rs 2000+,Fort Kochi,No,https://wibest.in/restaurants/kochi/
Frys Village Restaurant,Kochi,Kerala | Traditional | Seafood,4.3,Rs 500-2000,"Kadavanthra, Kochi",No,https://wibest.in/restaurants/kochi/
Sarafa Bazaar (Street Food),Indore,Street Food | Chaat | Indori,4.6,Under Rs 500,"Sarafa Bazaar, Indore",Yes,https://wibest.in/restaurants/indore/
Chappan Dukan,Indore,Street Food | Chaat | Indori,4.5,Under Rs 500,"New Palasia, Indore",Yes,https://wibest.in/restaurants/indore/
Nafees Restaurant,Indore,Mughlai | Biryani | Kebabs,4.3,Rs 500-2000,"South Tukoganj, Indore",No,https://wibest.in/restaurants/indore/
Indori Zaika,Indore,Indori | Street Food | Vegetarian,4.3,Under Rs 500,"Vijay Nagar, Indore",Yes,https://wibest.in/restaurants/indore/
Mehfil,Indore,North Indian | Mughlai,4.3,Rs 500-2000,"AB Road, Indore",No,https://wibest.in/restaurants/indore/
Apna Sweets,Indore,Sweets | Indori | Snacks,4.4,Under Rs 500,"Rajmohalla, Indore",Yes,https://wibest.in/restaurants/indore/
Dharani,Visakhapatnam,Andhra | South Indian | Seafood,4.4,Rs 500-2000,"Beach Road, Vizag",No,https://wibest.in/restaurants/visakhapatnam/
Barbeque Nation,Visakhapatnam,BBQ | Buffet | Continental,4.3,Rs 500-2000,"Jagadamba Junction, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Sea Inn Restaurant,Visakhapatnam,Andhra | Seafood | South Indian,4.3,Rs 500-2000,"Ramakrishna Beach, Vizag",No,https://wibest.in/restaurants/visakhapatnam/
Saptagiri,Visakhapatnam,South Indian | Vegetarian,4.3,Under Rs 500,"Dwaraka Nagar, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Pulla Reddy Sweets,Visakhapatnam,Sweets | Snacks | Andhra,4.4,Under Rs 500,"Asilmetta, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Bombay Anand Bhavan,Visakhapatnam,South Indian | North Indian | Chinese,4.2,Under Rs 500,"Siripuram, Vizag",Yes,https://wibest.in/restaurants/visakhapatnam/
Gulati Restaurant,Delhi,North Indian | Mughlai | Kebabs,4.3,Rs 500-2000,"Pandara Road, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Havemore,Delhi,North Indian | Mughlai | Tandoor,4.2,Rs 500-2000,"Pandara Road, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Big Chill Cafe,Delhi,Italian | Continental | Cafe,4.4,Rs 500-2000,"Khan Market, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Mamagoto,Delhi,Asian | Thai | Pan-Asian,4.3,Rs 500-2000,"Khan Market, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Perch Wine and Coffee Bar,Delhi,Cafe | Continental | Bar,4.4,Rs 500-2000,"Khan Market, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Sagar Ratna,Delhi,South Indian | Vegetarian,4.1,Under Rs 500,"Defence Colony, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Swagath Restaurant,Delhi,South Indian | Coastal | Seafood,4.2,Rs 500-2000,"Defence Colony, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Andhra Bhavan Canteen,Delhi,Andhra | South Indian | Non-Veg,4.4,Under Rs 500,"Ashoka Road, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Naturals Ice Cream,Delhi,Ice Cream | Desserts,4.5,Under Rs 500,"Connaught Place, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Wenger's,Delhi,Bakery | Desserts,4.4,Under Rs 500,"Connaught Place, New Delhi",Yes,https://wibest.in/restaurants/delhi/
United Coffee House,Delhi,North Indian | Continental | Cafe,4.3,Rs 500-2000,"Connaught Place, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Embassy Restaurant,Delhi,North Indian | Continental,4.2,Rs 500-2000,"Connaught Place, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Kake Da Hotel,Delhi,North Indian | Punjabi,4.2,Under Rs 500,"Connaught Place, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Dum Pukht,Delhi,Mughlai | Awadhi | Fine Dining,4.6,Rs 2000+,"ITC Maurya, Chanakyapuri",Yes,https://wibest.in/restaurants/delhi/
Varq,Delhi,Modern Indian | Fine Dining,4.5,Rs 2000+,"Taj Mahal Hotel, Mansingh Road",Yes,https://wibest.in/restaurants/delhi/
Megu,Delhi,Japanese | Sushi | Fine Dining,4.5,Rs 2000+,"The Leela Palace, Chanakyapuri",Yes,https://wibest.in/restaurants/delhi/
Olive Bar Kitchen,Delhi,Italian | Mediterranean | Fine Dining,4.4,Rs 2000+,"Mehrauli, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Qla,Delhi,Modern Indian | Continental | Fine Dining,4.5,Rs 2000+,"Mehrauli, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Diggin,Delhi,Italian | Cafe | Continental,4.3,Rs 500-2000,"Anand Lok, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Rose Cafe,Delhi,Cafe | Continental | Brunch,4.4,Rs 500-2000,"Saket, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Pind Balluchi,Delhi,North Indian | Punjabi | Tandoor,4.0,Rs 500-2000,"Pitampura, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Carnatic Cafe,Delhi,South Indian | Vegetarian,4.3,Under Rs 500,"Lodhi Colony, New Delhi",Yes,https://wibest.in/restaurants/delhi/
Jimmy Boy,Mumbai,Parsi | Iranian,4.3,Rs 500-2000,"Fort, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Cafe Mondegar,Mumbai,Continental | Cafe | Bar,4.4,Rs 500-2000,"Colaba, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Theobroma,Mumbai,Bakery | Desserts | Cafe,4.5,Under Rs 500,"Colaba Causeway, Colaba",Yes,https://wibest.in/restaurants/mumbai/
Kala Ghoda Cafe,Mumbai,Cafe | Continental | Brunch,4.4,Rs 500-2000,"Kala Ghoda, Fort",Yes,https://wibest.in/restaurants/mumbai/
Gallops,Mumbai,Continental | North Indian,4.2,Rs 500-2000,Mahalaxmi Race Course,Yes,https://wibest.in/restaurants/mumbai/
Soam,Mumbai,Gujarati | Vegetarian | Jain,4.4,Rs 500-2000,"Babulnath, Chowpatty",Yes,https://wibest.in/restaurants/mumbai/
New Kulfi Centre,Mumbai,Desserts | Ice Cream,4.5,Under Rs 500,"Chowpatty, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Bademiya Seekh Kabab,Mumbai,Mughlai | Kebabs | Street Food,4.3,Under Rs 500,"Colaba, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Gajalee,Mumbai,Coastal | Seafood | Maharashtrian,4.3,Rs 500-2000,"Vile Parle West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Mahesh Lunch Home,Mumbai,Coastal | Seafood | Mangalorean,4.4,Rs 500-2000,"Fort, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Highway Gomantak,Mumbai,Goan | Coastal | Seafood,4.3,Rs 500-2000,"Bandra East, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Pali Village Cafe,Mumbai,Italian | Mediterranean | Continental,4.4,Rs 2000+,"Pali Hill, Bandra West",Yes,https://wibest.in/restaurants/mumbai/
Bastian at the Top,Mumbai,Asian | Seafood | Fine Dining,4.6,Rs 2000+,"Worli, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Masque,Mumbai,Modern Indian | Fine Dining,4.7,Rs 2000+,"Mathuradas Mills, Lower Parel",Yes,https://wibest.in/restaurants/mumbai/
Americano,Mumbai,Italian | Mediterranean | Fine Dining,4.6,Rs 2000+,"Kala Ghoda, Fort",Yes,https://wibest.in/restaurants/mumbai/
Hakkasan,Mumbai,Chinese | Asian | Fine Dining,4.5,Rs 2000+,"Bandra West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Yauatcha,Mumbai,Chinese | Asian | Fine Dining,4.5,Rs 2000+,"Bandra Kurla Complex, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Social Khar,Mumbai,Continental | Bar | Pub,4.3,Rs 500-2000,"Khar West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Gateway Taproom,Mumbai,Brewery | Continental | Pub,4.3,Rs 500-2000,"Andheri West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Persian Darbar,Mumbai,Mughlai | Biryani | Kebabs,4.2,Rs 500-2000,"Bandra West, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Shree Thaker Bhojanalay,Mumbai,Gujarati | Vegetarian,4.4,Rs 500-2000,"Kalbadevi, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
Cafe Madras,Mumbai,South Indian | Vegetarian,4.4,Under Rs 500,"Matunga, Mumbai",Yes,https://wibest.in/restaurants/mumbai/
The Permit Room,Bangalore,South Indian | Modern Indian | Bar,4.4,Rs 500-2000,"Lavelle Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
SodaBottleOpenerWala Bangalore,Bangalore,Parsi | Iranian | Cafe,4.3,Rs 500-2000,"Lavelle Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Smoke House Deli,Bangalore,Continental | Italian | Cafe,4.3,Rs 500-2000,"Indiranagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Glen's Bakehouse,Bangalore,Bakery | Cafe | Desserts,4.5,Rs 500-2000,"Indiranagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Byg Brewski Brewing Company,Bangalore,Brewery | Continental | Pub,4.5,Rs 500-2000,"Sarjapur Road, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Communiti,Bangalore,Brewery | Continental | Pub,4.4,Rs 500-2000,"Koramangala, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Plan B Loaded,Bangalore,American | Burgers | Pub,4.3,Rs 500-2000,"Indiranagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Konark Restaurant,Bangalore,Andhra | Biryani | Non-Veg,4.2,Under Rs 500,"Jayanagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Farzi Cafe Bangalore,Bangalore,Modern Indian | Bar | Lounge,4.3,Rs 500-2000,"UB City, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Hari Super Sandwich,Bangalore,South Indian | Street Food | Vegetarian,4.3,Under Rs 500,"Jayanagar, Bangalore",Yes,https://wibest.in/restaurants/bangalore/
Peshawri Chennai,Chennai,North Indian | Tandoor | Fine Dining,4.5,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Southern Spice,Chennai,South Indian | Chettinad | Fine Dining,4.6,Rs 2000+,"Taj Coromandel, Nungambakkam",Yes,https://wibest.in/restaurants/chennai/
Avartana,Chennai,Modern Indian | South Indian | Fine Dining,4.7,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
The Flying Elephant,Chennai,Continental | Asian | Fine Dining,4.5,Rs 2000+,"Park Hyatt, Velachery",Yes,https://wibest.in/restaurants/chennai/
Royal Vega,Chennai,Vegetarian | North Indian | Fine Dining,4.6,Rs 2000+,"ITC Grand Chola, Guindy",Yes,https://wibest.in/restaurants/chennai/
Buhari Hotel,Chennai,Biryani | North Indian | Kebabs,4.2,Rs 500-2000,"Anna Salai, Mount Road",Yes,https://wibest.in/restaurants/chennai/
Ente Keralam,Chennai,Kerala | South Indian | Seafood,4.4,Rs 500-2000,"Poes Garden, Teynampet",Yes,https://wibest.in/restaurants/chennai/
Kaaraikudi,Chennai,Chettinad | South Indian | Biryani,4.3,Rs 500-2000,T Nagar,Yes,https://wibest.in/restaurants/chennai/
Sangeetha Veg Restaurant,Chennai,South Indian | North Indian | Vegetarian,4.2,Rs 500-2000,Nungambakkam,Yes,https://wibest.in/restaurants/chennai/
Adyar Ananda Bhavan,Chennai,South Indian | Vegetarian | Desserts,4.3,Under Rs 500,Adyar,Yes,https://wibest.in/restaurants/chennai/
